Player,Player Link,Player Key,Team,Team Link,Position,Age,2025-26,2026-27,2027-28,2028-29,2029-30
R.J. Barrett,https://www.spotrac.com/nba/player/_/id/31560/rj-barrett,rj-barrett,Toronto Raptors,https://www.spotrac.com/nba/toronto-raptors/yearly,SG,24,$27705357,$29616071,UFA,,
Rob Dillingham,https://www.spotrac.com/nba/player/_/id/91736/rob-dillingham,rob-dillingham,Minnesota Timberwolves,https://www.spotrac.com/nba/minnesota-timberwolves/yearly,PG,20,$6576120,$6889320,$8763216,RFA,
Robert Williams III,https://www.spotrac.com/nba/player/_/id/26993/robert-williams,robert-williams,Portland Trail Blazers,https://www.spotrac.com/nba/portland-trail-blazers/yearly,C,27,$13285713,UFA,,,
Ron Harper Jr.,https://www.spotrac.com/nba/player/_/id/78577/ron-harper,ron-harper,Detroit Pistons,https://www.spotrac.com/nba/detroit-pistons/yearly,SG,24,Two-Way,RFA,,,
Ron Holland II,https://www.spotrac.com/nba/player/_/id/91751/ron-holland,ron-holland,Detroit Pistons,https://www.spotrac.com/nba/detroit-pistons/yearly,SF,19,$8657280,$9069600,$11491183,RFA,
Royce O'Neale,https://www.spotrac.com/nba/player/_/id/24240/royce-oneale,royce-oneale,Phoenix Suns,https://www.spotrac.com/nba/phoenix-suns/yearly,SF,31,$10125000,$10875000,$11625000,UFA,
Rudy Gobert,https://www.spotrac.com/nba/player/_/id/13340/rudy-gobert,rudy-gobert,Minnesota Timberwolves,https://www.spotrac.com/nba/minnesota-timberwolves/yearly,C,32,$35000000,$36500000,$38000000,UFA,
Rui Hachimura,https://www.spotrac.com/nba/player/_/id/31566/rui-hachimura,rui-hachimura,Los Angeles Lakers,https://www.spotrac.com/nba/los-angeles-lakers/yearly,PF,26,$18259259,UFA,,,
Russell Westbrook,https://www.spotrac.com/nba/player/_/id/6141/russell-westbrook,russell-westbrook,Denver Nuggets,https://www.spotrac.com/nba/denver-nuggets/yearly,PG,36,$3468960,UFA,,,
Ryan Dunn,https://www.spotrac.com/nba/player/_/id/91771/ryan-dunn,ryan-dunn,Phoenix Suns,https://www.spotrac.com/nba/phoenix-suns/yearly,SF,22,$2657760,$2784240,$5025553,RFA,
Ryan Rollins,https://www.spotrac.com/nba/player/_/id/78155/ryan-rollins,ryan-rollins,Milwaukee Bucks,https://www.spotrac.com/nba/milwaukee-bucks/yearly,SG,22,RFA,,,,
Saddiq Bey,https://www.spotrac.com/nba/player/_/id/70661/saddiq-bey,saddiq-bey,Washington Wizards,https://www.spotrac.com/nba/washington-wizards/yearly,SF,25,$6118644,$6440678,UFA,,
Sam Hauser,https://www.spotrac.com/nba/player/_/id/74311/sam-hauser,sam-hauser,Boston Celtics,https://www.spotrac.com/nba/boston-celtics/yearly,SF,27,$10044644,$10848215,$11651785,$12455356,
Sam Merrill,https://www.spotrac.com/nba/player/_/id/70702/sam-merrill,sam-merrill,Cleveland Cavaliers,https://www.spotrac.com/nba/cleveland-cavaliers/yearly,SG,28,UFA,,,,
Sandro Mamukelashvili,https://www.spotrac.com/nba/player/_/id/74161/sandro-mamukelashvili,sandro-mamukelashvili,San Antonio Spurs,https://www.spotrac.com/nba/san-antonio-spurs/yearly,C,25,UFA,,,,
Santi Aldama,https://www.spotrac.com/nba/player/_/id/74137/santi-aldama,santi-aldama,Memphis Grizzlies,https://www.spotrac.com/nba/memphis-grizzlies/yearly,C,24,RFA,,,,
Scoot Henderson,https://www.spotrac.com/nba/player/_/id/82198/scoot-henderson,scoot-henderson,Portland Trail Blazers,https://www.spotrac.com/nba/portland-trail-blazers/yearly,PG,20,$10748040,$13585523,RFA,,
Scottie Barnes,https://www.spotrac.com/nba/player/_/id/74111/scottie-barnes,scottie-barnes,Toronto Raptors,https://www.spotrac.com/nba/toronto-raptors/yearly,PF,23,$38661700,$41754636,$44847572,$47940508,
